source,source_type,target_maithili,target_script,notes
मेरे,candidate,,Devanagari,auto_from_transcript freq=11
मुझे,candidate,,Devanagari,auto_from_transcript freq=9
कि,candidate,,Devanagari,auto_from_transcript freq=8
वो,candidate,,Devanagari,auto_from_transcript freq=7
जो,candidate,,Devanagari,auto_from_transcript freq=6
करने,candidate,,Devanagari,auto_from_transcript freq=6
हूँ,candidate,,Devanagari,auto_from_transcript freq=6
है।,candidate,,Devanagari,auto_from_transcript freq=5
मेरी,candidate,,Devanagari,auto_from_transcript freq=4
दूसरा,candidate,,Devanagari,auto_from_transcript freq=4
हो,candidate,,Devanagari,auto_from_transcript freq=4
कर,candidate,,Devanagari,auto_from_transcript freq=4
कुछ,candidate,,Devanagari,auto_from_transcript freq=4
एक,candidate,,Devanagari,auto_from_transcript freq=4
बहुत,candidate,,Devanagari,auto_from_transcript freq=4
फिर,candidate,,Devanagari,auto_from_transcript freq=4
ही,candidate,,Devanagari,auto_from_transcript freq=3
करते,candidate,,Devanagari,auto_from_transcript freq=3
लिए,candidate,,Devanagari,auto_from_transcript freq=3
करूँगा,candidate,,Devanagari,auto_from_transcript freq=3
काम,candidate,,Devanagari,auto_from_transcript freq=3
कोई,candidate,,Devanagari,auto_from_transcript freq=3
knowledge,candidate,,Devanagari,auto_from_transcript freq=3
लोग,candidate,,Devanagari,auto_from_transcript freq=3
होती,candidate,,Devanagari,auto_from_transcript freq=3
देश,candidate,,Devanagari,auto_from_transcript freq=3
जब,candidate,,Devanagari,auto_from_transcript freq=3
क्या,candidate,,Devanagari,auto_from_transcript freq=3
ने,candidate,,Devanagari,auto_from_transcript freq=2
दो,candidate,,Devanagari,auto_from_transcript freq=2
मैंने,candidate,,Devanagari,auto_from_transcript freq=2
करता,candidate,,Devanagari,auto_from_transcript freq=2
कहता,candidate,,Devanagari,auto_from_transcript freq=2
आज,candidate,,Devanagari,auto_from_transcript freq=2
उनके,candidate,,Devanagari,auto_from_transcript freq=2
all,candidate,,Devanagari,auto_from_transcript freq=2
time,candidate,,Devanagari,auto_from_transcript freq=2
about,candidate,,Devanagari,auto_from_transcript freq=2
advanced,candidate,,Devanagari,auto_from_transcript freq=2
हुआ,candidate,,Devanagari,auto_from_transcript freq=2
कहते,candidate,,Devanagari,auto_from_transcript freq=2
khud,candidate,,Devanagari,auto_from_transcript freq=2
ko,candidate,,Devanagari,auto_from_transcript freq=2
करें,candidate,,Devanagari,auto_from_transcript freq=2
information,candidate,,Devanagari,auto_from_transcript freq=2
उसको,candidate,,Devanagari,auto_from_transcript freq=2
how,candidate,,Devanagari,auto_from_transcript freq=2
