utterance_id,audio_path,source,split,chunk_start_sec,chunk_end_sec,span_index,start_sec,end_sec,language,text
lexmodi_original_2h20m_10m__chunk_0000,/home/vishal/assignment2-final/stage1_lid/audio/chunks/lexmodi_original_2h20m_10m__chunk_0000.wav,lexmodi_original_2h20m_10m,test,0.000,15.000,0,0.0,0.61,english,motivation
lexmodi_original_2h20m_10m__chunk_0000,/home/vishal/assignment2-final/stage1_lid/audio/chunks/lexmodi_original_2h20m_10m__chunk_0000.wav,lexmodi_original_2h20m_10m,test,0.000,15.000,1,0.61,8.31,hindi,मेरी आंख के सामने जो चीजें हैं वही मुझे मोटिवेट करती रहती है दूसरा मेरी जिम्मेवारी मुझे दौड़ाती है
lexmodi_original_2h20m_10m__chunk_0000,/home/vishal/assignment2-final/stage1_lid/audio/chunks/lexmodi_original_2h20m_10m__chunk_0000.wav,lexmodi_original_2h20m_10m,test,0.000,15.000,2,10.03,14.57,hindi,जो जिम्मेवारी देशवासियों ने मुझे दी है मुझे हमेशा लगता है
lexmodi_original_2h20m_10m__chunk_0001,/home/vishal/assignment2-final/stage1_lid/audio/chunks/lexmodi_original_2h20m_10m__chunk_0001.wav,lexmodi_original_2h20m_10m,test,14.000,29.000,0,0.0,1.23,hindi,अच्छा लगता है
lexmodi_original_2h20m_10m__chunk_0001,/home/vishal/assignment2-final/stage1_lid/audio/chunks/lexmodi_original_2h20m_10m__chunk_0001.wav,lexmodi_original_2h20m_10m,test,14.000,29.000,1,1.76,5.28,hindi,कि मैं पद पर मौज मस्ती करने के लिए नहीं आया
lexmodi_original_2h20m_10m__chunk_0001,/home/vishal/assignment2-final/stage1_lid/audio/chunks/lexmodi_original_2h20m_10m__chunk_0001.wav,lexmodi_original_2h20m_10m,test,14.000,29.000,2,6.72,8.52,hindi,मेरी तरफ से मैं पूरा प्रयास करूंगा
lexmodi_original_2h20m_10m__chunk_0001,/home/vishal/assignment2-final/stage1_lid/audio/chunks/lexmodi_original_2h20m_10m__chunk_0001.wav,lexmodi_original_2h20m_10m,test,14.000,29.000,3,8.82,11.43,hindi,हो सकता है मैं दो काम ना कर पाऊं
lexmodi_original_2h20m_10m__chunk_0001,/home/vishal/assignment2-final/stage1_lid/audio/chunks/lexmodi_original_2h20m_10m__chunk_0001.wav,lexmodi_original_2h20m_10m,test,14.000,29.000,4,12.04,14.27,hindi,लेकिन मेरे प्रयास में कमी नहीं रहेगी
lexmodi_original_2h20m_10m__chunk_0003,/home/vishal/assignment2-final/stage1_lid/audio/chunks/lexmodi_original_2h20m_10m__chunk_0003.wav,lexmodi_original_2h20m_10m,test,42.000,57.000,0,0.0,9.75,hindi,मैंने कहा मैं देशवासियों को वादा करता हूं कि मैं कभी भी परिश्रम करने में पीछे नहीं रहूंगा।
lexmodi_original_2h20m_10m__chunk_0003,/home/vishal/assignment2-final/stage1_lid/audio/chunks/lexmodi_original_2h20m_10m__chunk_0003.wav,lexmodi_original_2h20m_10m,test,42.000,57.000,1,10.87,12.3,hindi,दूसरा मैं कहता था
lexmodi_original_2h20m_10m__chunk_0003,/home/vishal/assignment2-final/stage1_lid/audio/chunks/lexmodi_original_2h20m_10m__chunk_0003.wav,lexmodi_original_2h20m_10m,test,42.000,57.000,2,13.25,14.65,hindi,कि मैं बद्ध इरादे से
lexmodi_original_2h20m_10m__chunk_0004,/home/vishal/assignment2-final/stage1_lid/audio/chunks/lexmodi_original_2h20m_10m__chunk_0004.wav,lexmodi_original_2h20m_10m,test,56.000,71.000,0,0.1,2.72,hindi,बद इरादे से कोई काम नहीं करूंगा।
lexmodi_original_2h20m_10m__chunk_0004,/home/vishal/assignment2-final/stage1_lid/audio/chunks/lexmodi_original_2h20m_10m__chunk_0004.wav,lexmodi_original_2h20m_10m,test,56.000,71.000,1,4.18,5.54,hindi,और तीसरा मैं कहता था
lexmodi_original_2h20m_10m__chunk_0004,/home/vishal/assignment2-final/stage1_lid/audio/chunks/lexmodi_original_2h20m_10m__chunk_0004.wav,lexmodi_original_2h20m_10m,test,56.000,71.000,2,6.09,7.88,hindi,मेरे लिए मैं कुछ नहीं करूंगा।
lexmodi_original_2h20m_10m__chunk_0004,/home/vishal/assignment2-final/stage1_lid/audio/chunks/lexmodi_original_2h20m_10m__chunk_0004.wav,lexmodi_original_2h20m_10m,test,56.000,71.000,3,8.91,10.88,hindi,आज मुझे 24 साल हो गए
lexmodi_original_2h20m_10m__chunk_0004,/home/vishal/assignment2-final/stage1_lid/audio/chunks/lexmodi_original_2h20m_10m__chunk_0004.wav,lexmodi_original_2h20m_10m,test,56.000,71.000,4,11.71,13.91,hindi,इतने लंबे कालखंड से मैं
