utterance_id,audio_path,source,split,chunk_start_sec,chunk_end_sec,span_index,start_sec,end_sec,language,text
lexmodi_original_2h20m_10m__chunk_0000,/home/vishal/assignment2-final/stage1_lid/audio/chunks/lexmodi_original_2h20m_10m__chunk_0000.wav,lexmodi_original_2h20m_10m,test,0.000,15.000,0,0.0,0.88,english,motivation
lexmodi_original_2h20m_10m__chunk_0000,/home/vishal/assignment2-final/stage1_lid/audio/chunks/lexmodi_original_2h20m_10m__chunk_0000.wav,lexmodi_original_2h20m_10m,test,0.000,15.000,1,0.88,4.09,hindi,मेरी आंख के सामने जो चीजें हैं वही मुझे मोटिवेट करती रहती है।
lexmodi_original_2h20m_10m__chunk_0000,/home/vishal/assignment2-final/stage1_lid/audio/chunks/lexmodi_original_2h20m_10m__chunk_0000.wav,lexmodi_original_2h20m_10m,test,0.000,15.000,2,4.88,5.37,hindi,दूसरा
lexmodi_original_2h20m_10m__chunk_0000,/home/vishal/assignment2-final/stage1_lid/audio/chunks/lexmodi_original_2h20m_10m__chunk_0000.wav,lexmodi_original_2h20m_10m,test,0.000,15.000,3,5.99,8.01,hindi,मेरी जिम्मेवारी मुझे दौड़ाती है।
lexmodi_original_2h20m_10m__chunk_0000,/home/vishal/assignment2-final/stage1_lid/audio/chunks/lexmodi_original_2h20m_10m__chunk_0000.wav,lexmodi_original_2h20m_10m,test,0.000,15.000,4,10.05,12.75,hindi,जो जिम्मेवारी देशवासियों ने मुझे दी है।
lexmodi_original_2h20m_10m__chunk_0000,/home/vishal/assignment2-final/stage1_lid/audio/chunks/lexmodi_original_2h20m_10m__chunk_0000.wav,lexmodi_original_2h20m_10m,test,0.000,15.000,5,13.27,14.69,hindi,मुझे हमेशा लगता है
lexmodi_original_2h20m_10m__chunk_0001,/home/vishal/assignment2-final/stage1_lid/audio/chunks/lexmodi_original_2h20m_10m__chunk_0001.wav,lexmodi_original_2h20m_10m,test,14.000,29.000,0,0.0,1.23,hindi,अच्छा लगता है
lexmodi_original_2h20m_10m__chunk_0001,/home/vishal/assignment2-final/stage1_lid/audio/chunks/lexmodi_original_2h20m_10m__chunk_0001.wav,lexmodi_original_2h20m_10m,test,14.000,29.000,1,1.88,5.16,hindi,कि मैं पद पर मौज मस्ती करने के लिए नहीं आया।
lexmodi_original_2h20m_10m__chunk_0001,/home/vishal/assignment2-final/stage1_lid/audio/chunks/lexmodi_original_2h20m_10m__chunk_0001.wav,lexmodi_original_2h20m_10m,test,14.000,29.000,2,6.66,8.62,hindi,मेरी तरफ से मैं पूरा प्रयास करूंगा।
lexmodi_original_2h20m_10m__chunk_0001,/home/vishal/assignment2-final/stage1_lid/audio/chunks/lexmodi_original_2h20m_10m__chunk_0001.wav,lexmodi_original_2h20m_10m,test,14.000,29.000,3,8.82,11.23,hindi,हो सकता है मैं दो काम ना कर पाऊं।
lexmodi_original_2h20m_10m__chunk_0001,/home/vishal/assignment2-final/stage1_lid/audio/chunks/lexmodi_original_2h20m_10m__chunk_0001.wav,lexmodi_original_2h20m_10m,test,14.000,29.000,4,12.11,14.33,hindi,लेकिन मेरे प्रयास में कमी नहीं रहेगी।
lexmodi_original_2h20m_10m__chunk_0002,/home/vishal/assignment2-final/stage1_lid/audio/chunks/lexmodi_original_2h20m_10m__chunk_0002.wav,lexmodi_original_2h20m_10m,test,28.000,43.000,0,0.0,3.0,hindi,मेरे परिश्रम में कमी नहीं रहेगी।
lexmodi_original_2h20m_10m__chunk_0002,/home/vishal/assignment2-final/stage1_lid/audio/chunks/lexmodi_original_2h20m_10m__chunk_0002.wav,lexmodi_original_2h20m_10m,test,28.000,43.000,1,3.2,6.35,hindi,और मैं जब 14 में चुनाव लड़ रहा था
lexmodi_original_2h20m_10m__chunk_0002,/home/vishal/assignment2-final/stage1_lid/audio/chunks/lexmodi_original_2h20m_10m__chunk_0002.wav,lexmodi_original_2h20m_10m,test,28.000,43.000,2,8.1,13.3,hindi,तब मैंने पहले जब गुजरात में था तब भी मैंने लोगों के सामने रखा था और यहां आया तो यहां भी कहा था।
lexmodi_original_2h20m_10m__chunk_0002,/home/vishal/assignment2-final/stage1_lid/audio/chunks/lexmodi_original_2h20m_10m__chunk_0002.wav,lexmodi_original_2h20m_10m,test,28.000,43.000,3,14.02,14.53,hindi,मैंने कहा मैं देश
lexmodi_original_2h20m_10m__chunk_0003,/home/vishal/assignment2-final/stage1_lid/audio/chunks/lexmodi_original_2h20m_10m__chunk_0003.wav,lexmodi_original_2h20m_10m,test,42.000,57.000,0,0.0,2.24,hindi,मैंने कहा मैं देशवासियों को वादा करता हूं
lexmodi_original_2h20m_10m__chunk_0003,/home/vishal/assignment2-final/stage1_lid/audio/chunks/lexmodi_original_2h20m_10m__chunk_0003.wav,lexmodi_original_2h20m_10m,test,42.000,57.000,1,3.03,3.54,hindi,कि मैं
lexmodi_original_2h20m_10m__chunk_0003,/home/vishal/assignment2-final/stage1_lid/audio/chunks/lexmodi_original_2h20m_10m__chunk_0003.wav,lexmodi_original_2h20m_10m,test,42.000,57.000,2,4.99,6.09,hindi,कभी भी
lexmodi_original_2h20m_10m__chunk_0003,/home/vishal/assignment2-final/stage1_lid/audio/chunks/lexmodi_original_2h20m_10m__chunk_0003.wav,lexmodi_original_2h20m_10m,test,42.000,57.000,3,7.15,9.64,hindi,परिश्रम करने में पीछे नहीं रहूंगा।
lexmodi_original_2h20m_10m__chunk_0003,/home/vishal/assignment2-final/stage1_lid/audio/chunks/lexmodi_original_2h20m_10m__chunk_0003.wav,lexmodi_original_2h20m_10m,test,42.000,57.000,4,11.0,12.52,hindi,दूसरा मैं कहता था
lexmodi_original_2h20m_10m__chunk_0003,/home/vishal/assignment2-final/stage1_lid/audio/chunks/lexmodi_original_2h20m_10m__chunk_0003.wav,lexmodi_original_2h20m_10m,test,42.000,57.000,5,13.33,14.24,hindi,कि मैं बद इरादे से
lexmodi_original_2h20m_10m__chunk_0004,/home/vishal/assignment2-final/stage1_lid/audio/chunks/lexmodi_original_2h20m_10m__chunk_0004.wav,lexmodi_original_2h20m_10m,test,56.000,71.000,0,0.0,2.4,hindi,बुद्ध इरादे से कोई काम नहीं करूंगा।
lexmodi_original_2h20m_10m__chunk_0004,/home/vishal/assignment2-final/stage1_lid/audio/chunks/lexmodi_original_2h20m_10m__chunk_0004.wav,lexmodi_original_2h20m_10m,test,56.000,71.000,1,4.05,5.5,hindi,और तीसरा मैं कहता था
lexmodi_original_2h20m_10m__chunk_0004,/home/vishal/assignment2-final/stage1_lid/audio/chunks/lexmodi_original_2h20m_10m__chunk_0004.wav,lexmodi_original_2h20m_10m,test,56.000,71.000,2,6.0,7.75,hindi,मेरे लिए मैं कुछ नहीं करूंगा।
lexmodi_original_2h20m_10m__chunk_0004,/home/vishal/assignment2-final/stage1_lid/audio/chunks/lexmodi_original_2h20m_10m__chunk_0004.wav,lexmodi_original_2h20m_10m,test,56.000,71.000,3,9.1,14.05,hindi,आज मुझे 24 साल हो गए इतने लंबे कालखंड से मैं
lexmodi_original_2h20m_10m__chunk_0004,/home/vishal/assignment2-final/stage1_lid/audio/chunks/lexmodi_original_2h20m_10m__chunk_0004.wav,lexmodi_original_2h20m_10m,test,56.000,71.000,4,14.05,14.3,hindi,भय
lexmodi_original_2h20m_10m__chunk_0005,/home/vishal/assignment2-final/stage1_lid/audio/chunks/lexmodi_original_2h20m_10m__chunk_0005.wav,lexmodi_original_2h20m_10m,test,70.000,85.000,0,0.0,0.99,english,head of the government
lexmodi_original_2h20m_10m__chunk_0005,/home/vishal/assignment2-final/stage1_lid/audio/chunks/lexmodi_original_2h20m_10m__chunk_0005.wav,lexmodi_original_2h20m_10m,test,70.000,85.000,1,1.09,3.86,hindi,ke roop mein desh vasiyon ne mujhe kaam diya hai.
lexmodi_original_2h20m_10m__chunk_0005,/home/vishal/assignment2-final/stage1_lid/audio/chunks/lexmodi_original_2h20m_10m__chunk_0005.wav,lexmodi_original_2h20m_10m,test,70.000,85.000,2,4.43,8.35,hindi,Mere in teen kasotiyon par maine apne aap ko tol kar ke rakha hua hai.
lexmodi_original_2h20m_10m__chunk_0005,/home/vishal/assignment2-final/stage1_lid/audio/chunks/lexmodi_original_2h20m_10m__chunk_0005.wav,lexmodi_original_2h20m_10m,test,70.000,85.000,3,9.0,10.42,hindi,Aur main usko karta hu
lexmodi_original_2h20m_10m__chunk_0005,/home/vishal/assignment2-final/stage1_lid/audio/chunks/lexmodi_original_2h20m_10m__chunk_0005.wav,lexmodi_original_2h20m_10m,test,70.000,85.000,4,10.6,11.51,hindi,to mujhe mera ek
lexmodi_original_2h20m_10m__chunk_0005,/home/vishal/assignment2-final/stage1_lid/audio/chunks/lexmodi_original_2h20m_10m__chunk_0005.wav,lexmodi_original_2h20m_10m,test,70.000,85.000,5,12.75,13.68,english,inspiration
lexmodi_original_2h20m_10m__chunk_0005,/home/vishal/assignment2-final/stage1_lid/audio/chunks/lexmodi_original_2h20m_10m__chunk_0005.wav,lexmodi_original_2h20m_10m,test,70.000,85.000,6,14.28,14.49,hindi,ban
lexmodi_original_2h20m_10m__chunk_0006,/home/vishal/assignment2-final/stage1_lid/audio/chunks/lexmodi_original_2h20m_10m__chunk_0006.wav,lexmodi_original_2h20m_10m,test,84.000,99.000,0,0.007,0.44,english,1.4 billion
lexmodi_original_2h20m_10m__chunk_0006,/home/vishal/assignment2-final/stage1_lid/audio/chunks/lexmodi_original_2h20m_10m__chunk_0006.wav,lexmodi_original_2h20m_10m,test,84.000,99.000,1,2.3,3.2,hindi,logon ki seva
