utterance_id,source,split,tts_text_maithili,chunk_duration_sec,audio_path,sample_rate,num_samples
lexmodi_original_2h20m_10m__chunk_0000,lexmodi_original_2h20m_10m,test,"जे चीज हमर आँखि सोझा अछि, ओही हमरा प्रेरित करैत रहैत अछि। दोसर, हमर जिम्मेवारी हमरा दौड़बैत अछि, जे जिम्मेवारी देशवासी लोकनि हमरा देने छथि।",15.0,/home/vishal/assignment2-final/stage3_tts/artifacts/synth_chunks/lexmodi_mms_fluent/lexmodi_original_2h20m_10m__chunk_0000.wav,16000,206592
lexmodi_original_2h20m_10m__chunk_0001,lexmodi_original_2h20m_10m,test,हमरा नीक लगैत अछि जे हम पद पर मौज-मस्ती करबाक लेल नहिं आयल छी। हमर दिस सं हम पूरा प्रयास करब।,15.0,/home/vishal/assignment2-final/stage3_tts/artifacts/synth_chunks/lexmodi_mms_fluent/lexmodi_original_2h20m_10m__chunk_0001.wav,16000,148224
lexmodi_original_2h20m_10m__chunk_0003,lexmodi_original_2h20m_10m,test,हम कहलियनि जे हम देशवासी सबहक सँ प्रतिज्ञा करैत छियनि जे हम कहियो परिश्रम करब मे पाछू नहि हटब।,15.0,/home/vishal/assignment2-final/stage3_tts/artifacts/synth_chunks/lexmodi_mms_fluent/lexmodi_original_2h20m_10m__chunk_0003.wav,16000,151296
lexmodi_original_2h20m_10m__chunk_0004,lexmodi_original_2h20m_10m,test,खराब नियत सँ कोनो काज नहि करब। आ तेसर हम कहैत छलहुँ जे अपन लेल हम किछ नहि करब।,15.0,/home/vishal/assignment2-final/stage3_tts/artifacts/synth_chunks/lexmodi_mms_fluent/lexmodi_original_2h20m_10m__chunk_0004.wav,16000,110336
lexmodi_original_2h20m_10m__chunk_0005,lexmodi_original_2h20m_10m,test,सरकारक प्रमुख प्रेरणास्रोत,15.0,/home/vishal/assignment2-final/stage3_tts/artifacts/synth_chunks/lexmodi_mms_fluent/lexmodi_original_2h20m_10m__chunk_0005.wav,16000,33024
lexmodi_original_2h20m_10m__chunk_0006,lexmodi_original_2h20m_10m,test,"एक अरब चालीस करोड़ लोकक सेवा, हुनकर आकांक्षा, हुनकर आवश्यकता - जेतेक मेहनत कऽ सकू, जेतेक कऽ सकू, हम ओहिना करबाक मन में",15.0,/home/vishal/assignment2-final/stage3_tts/artifacts/synth_chunks/lexmodi_mms_fluent/lexmodi_original_2h20m_10m__chunk_0006.wav,16000,170496
lexmodi_original_2h20m_10m__chunk_0007,lexmodi_original_2h20m_10m,test,"हम करबाक मूड में छी, आइयो हमर ऊर्जा ओही अछि जी। हम एकटा इंजीनियरक रूप में, गणितक प्रेमीक रूप में, हमरा ई पूछबे परत।",15.0,/home/vishal/assignment2-final/stage3_tts/artifacts/synth_chunks/lexmodi_mms_fluent/lexmodi_original_2h20m_10m__chunk_0007.wav,16000,160768
lexmodi_original_2h20m_10m__chunk_0008,lexmodi_original_2h20m_10m,test,"उम्म्म, सब समयक महानतम गणितज्ञसभ मे सँ एकटा, जे अपने सँ सीखल छलाह आ गरीबी मे पला-बढ़लाह। अहाँ हुनका विषय मे प्रायः बजैत रहल छी।",15.0,/home/vishal/assignment2-final/stage3_tts/artifacts/synth_chunks/lexmodi_mms_fluent/lexmodi_original_2h20m_10m__chunk_0008.wav,16000,214528
lexmodi_original_2h20m_10m__chunk_0009,lexmodi_original_2h20m_10m,test,"देखू, हम तँ हुनकर बहुत आदर करैत छियनि, आ हमर देशक सब गोटे हुनका आदर करैत छथि। किएक तँ विज्ञान आ अध्यात्मक बीच...",15.0,/home/vishal/assignment2-final/stage3_tts/artifacts/synth_chunks/lexmodi_mms_fluent/lexmodi_original_2h20m_10m__chunk_0009.wav,16000,175104
lexmodi_original_2h20m_10m__chunk_0010,lexmodi_original_2h20m_10m,test,आध्यात्मिकता वैज्ञानिक प्रगति केँ आध्यात्मिक रूप सँ,15.0,/home/vishal/assignment2-final/stage3_tts/artifacts/synth_chunks/lexmodi_mms_fluent/lexmodi_original_2h20m_10m__chunk_0010.wav,16000,82432
lexmodi_original_2h20m_10m__chunk_0011,lexmodi_original_2h20m_10m,test,तेँ संबंध नहि टूटैत छै। श्रीनिवास रामानुजन कहने छलाह जे हुनका ओहि देवीसँ आबय छनि जेकरि ओ पूजा करैत छथि।,15.0,/home/vishal/assignment2-final/stage3_tts/artifacts/synth_chunks/lexmodi_mms_fluent/lexmodi_original_2h20m_10m__chunk_0011.wav,16000,144640
lexmodi_original_2h20m_10m__chunk_0012,lexmodi_original_2h20m_10m,test,कठिन परिश्रम समर्पित करबाक संबंधमे कोनो,15.0,/home/vishal/assignment2-final/stage3_tts/artifacts/synth_chunks/lexmodi_mms_fluent/lexmodi_original_2h20m_10m__chunk_0012.wav,16000,58368
lexmodi_original_2h20m_10m__chunk_0013,lexmodi_original_2h20m_10m,test,ज्ञानक स्रोत सब खुलल अछि।,15.0,/home/vishal/assignment2-final/stage3_tts/artifacts/synth_chunks/lexmodi_mms_fluent/lexmodi_original_2h20m_10m__chunk_0013.wav,16000,36352
lexmodi_original_2h20m_10m__chunk_0014,lexmodi_original_2h20m_10m,test,हमरा सभक लग ओतबे बेसी आयत। हमरा सभकें आन-आन वस्तु लोकनिक बीच फरक करब सेहो बुझबाक चाही।,15.0,/home/vishal/assignment2-final/stage3_tts/artifacts/synth_chunks/lexmodi_mms_fluent/lexmodi_original_2h20m_10m__chunk_0014.wav,16000,139520
