source,source_type,target_maithili,target_script,notes
मेरे,candidate,हमर,Devanagari,Possessive pronoun.
मुझे,candidate,हमरा,Devanagari,Dative/accusative pronoun.
कि,candidate,जे,Devanagari,Conjunction 'that'.
वो,candidate,ओ,Devanagari,Distant demonstrative pronoun (he/she/it).
जो,candidate,जे,Devanagari,Relative pronoun.
करने,candidate,करबाक,Devanagari,Infinitive 'to do' (genitive form).
हूँ,candidate,छी,Devanagari,1st person singular present verb 'am'.
है।,candidate,अछि,Devanagari,3rd person singular present verb 'is'.
मेरी,candidate,हमर,Devanagari,Possessive pronoun.
दूसरा,candidate,दोसर,Devanagari,Adjective 'second/other'.
हो,candidate,होइ,Devanagari,Verb root 'to be/happen'.
कर,candidate,करि,Devanagari,Imperative 'do' or verb root.
कुछ,candidate,किछु,Devanagari,Indefinite pronoun/adjective 'some/something'.
एक,candidate,एक,Devanagari,Numeral 'one' or indefinite article 'a'.
बहुत,candidate,बहुत,Devanagari,Adverb 'very' or adjective 'much'.
फिर,candidate,फेर,Devanagari,Adverb 'then/again'.
ही,candidate,एहो,Devanagari,Emphatic particle.
करते,candidate,करैत,Devanagari,Imperfect participle 'doing'.
लिए,candidate,लेल,Devanagari,Postposition 'for'.
करूँगा,candidate,करब,Devanagari,1st person singular future verb 'I will do'.
काम,candidate,काज,Devanagari,Noun 'work'.
कोई,candidate,कोनो,Devanagari,Indefinite pronoun/adjective 'any/someone'.
knowledge,candidate,ज्ञान,Devanagari,Academic borrowing for 'knowledge'.
लोग,candidate,लोक,Devanagari,Noun 'people'.
होती,candidate,होइत,Devanagari,Imperfect participle 'happening/being'.
देश,candidate,देश,Devanagari,Direct equivalent for country
जब,candidate,जखन,Devanagari,Maithili equivalent for 'when'
क्या,candidate,कि,Devanagari,Maithili equivalent for 'what' or 'whether'
ने,candidate,N/A,Devanagari,No direct single-word equivalent; Maithili uses different grammatical structures
दो,candidate,दिय,Devanagari,Maithili imperative for 'give'
मैंने,candidate,हम,Devanagari,Maithili 'I'; the 'ne' postposition is not directly translated
करता,candidate,करैत,Devanagari,Maithili present participle for 'doing'
कहता,candidate,कहैत,Devanagari,Maithili present participle for 'saying'
आज,candidate,आइ,Devanagari,Maithili equivalent for 'today'
उनके,candidate,हुनक,Devanagari,Maithili possessive 'his/her/their' (respectful/plural)
all,candidate,सब,Devanagari,Common Maithili term for 'all'
time,candidate,समय,Devanagari,Common Maithili term for 'time'
about,candidate,बारेमे,Devanagari,Maithili equivalent for 'about' (concerning)
advanced,candidate,उन्नत,Devanagari,Standard Maithili term for 'advanced'
हुआ,candidate,भेल,Devanagari,Maithili past participle for 'happened/became'
कहते,candidate,कहैत,Devanagari,Maithili present participle for 'saying'
khud,candidate,स्वयं,Devanagari,Maithili equivalent for 'self'
ko,candidate,केँ,Devanagari,Maithili dative postposition
करें,candidate,करू,Devanagari,Maithili respectful imperative for 'do'
information,candidate,जानकारी,Devanagari,Common Maithili term for 'information'
उसको,candidate,ओकरा,Devanagari,Maithili equivalent for 'to him/her/it'
how,candidate,कोना,Devanagari,Common Maithili term for 'how'
make,candidate,बनाबय,Devanagari,Maithili verb 'to make/create'
decisions,candidate,निर्णयसभ,Devanagari,Maithili plural for 'decisions'
process,candidate,प्रक्रिया,Devanagari,Standard Maithili term for 'process'
ऐसा,candidate,एहन,Devanagari,Meaning 'such' or 'like this'.
पास,candidate,लग,Devanagari,Meaning 'near' or 'with'.
दूसरे,candidate,दोसर,Devanagari,Meaning 'other' or 'another'.
उनको,candidate,ओनका,Devanagari,Meaning 'to them/him/her' (polite plural/singular).
प्रश्न,candidate,प्रश्न,Devanagari,Meaning 'question'.
करके,candidate,कए,Devanagari,Meaning 'by doing' or 'having done'.
निर्णा,candidate,निर्णय,Devanagari,Assumed typo for 'निर्णय' (decision).
vishwan,candidate,विश्वान,Devanagari,Transliteration of a proper noun.
miriam,candidate,मिरीअम,Devanagari,Transliteration of a proper noun.
आँख,candidate,आँखि,Devanagari,Meaning 'eye'.
सामने,candidate,सोझाँ,Devanagari,Meaning 'in front of'.
चीज़े,candidate,चीजसभ,Devanagari,Meaning 'things' (plural).
मोटिवेट,candidate,मोटिवेट,Devanagari,Transliteration of English 'motivate'.
रहती,candidate,रहैत,Devanagari,Meaning 'remain' or 'stay' (continuous participle).
जिम्मेबारी,candidate,जिम्मेबारी,Devanagari,Meaning 'responsibility'.
देशवास्वे,candidate,देशवासीसभ,Devanagari,"Assumed typo for 'देशवासियों' (countrymen, plural)."
दी,candidate,देलक,Devanagari,Meaning 'gave' (simple past).
पद,candidate,पद,Devanagari,Meaning 'post' or 'position'.
मौज,candidate,मौज,Devanagari,Meaning 'fun' or 'pleasure'.
मस्ती,candidate,मस्ती,Devanagari,Meaning 'revelry' or 'fun'.
आया।,candidate,आएल,Devanagari,"Meaning 'came' (simple past, period ignored)."
जरब,candidate,जरब,Devanagari,Direct transliteration due to ambiguity without context.
पुरा,candidate,पूरा,Devanagari,Meaning 'complete' or 'entire'.
प्रहास,candidate,परिहास,Devanagari,Meaning 'laughter' or 'jest'.
सकता,candidate,सकैत,Devanagari,Meaning 'can' or 'is able to' (continuous participle).
बग,candidate,दोष,Devanagari,Defect or error
पाऊं,candidate,पामि,Devanagari,May get (1st person singular)
लेकिन,candidate,मुदा,Devanagari,Conjunction 'but'
प्रयास,candidate,प्रयास,Devanagari,"Effort, attempt"
कमी,candidate,कमी,Devanagari,"Lack, deficiency"
रहेगी,candidate,रहत,Devanagari,Will remain/be (general future)
कह,candidate,कह,Devanagari,"Say, tell (verb root)"
देशवासियों,candidate,देशवासीसभ,Devanagari,"Countrymen, fellow citizens (plural)"
वादा,candidate,वादा,Devanagari,Promise
मै,candidate,हम,Devanagari,"I (first person pronoun, assuming 'मैं')"
कभी,candidate,कहियो,Devanagari,"Ever, never"
बी,candidate,हू,Devanagari,"Also, even (assuming 'भी')"
परिश्रम,candidate,परिश्रम,Devanagari,"Hard work, labor"
पीछे,candidate,पाछू,Devanagari,"Behind, after"
रहूंगा।,candidate,रहब,Devanagari,I will remain/be
बद,candidate,खराब,Devanagari,"Bad, evil"
इरादे,candidate,इरादासभ,Devanagari,Intentions (plural)
तीसरा,candidate,तेसर,Devanagari,Third (ordinal number)
साल,candidate,वर्ष,Devanagari,Year
गए,candidate,गेल,Devanagari,"Went, gone (past tense)"
इतने,candidate,एतेक,Devanagari,"So much, so many"
लंबे,candidate,लाम्बा,Devanagari,Long (adjective)
कालखन,candidate,कालखण्ड,Devanagari,"Period, time segment (assuming 'कालखंड')"
head,candidate,प्रमुख,Devanagari,"Chief, leader (e.g., of government)"
government,candidate,सरकार,Devanagari,Government
given,candidate,देवाल,Devanagari,Past participle of 'to give'
work,candidate,काज,Devanagari,Refers to 'work' as a noun
weighed,candidate,तौलल गेल,Devanagari,Past participle 
myself,candidate,हम स्वयं,Devanagari,Direct translation
three,candidate,तीन,Devanagari,Common numeral
pillars,candidate,स्तंभ,Devanagari,Formal term for pillar
inspiration,candidate,प्रेरणा,Devanagari,Common term
billion,candidate,अरब,Devanagari,Equivalent numeral
people,candidate,लोक,Devanagari,Common term
लोगों,candidate,लोक,Devanagari,Maithili equivalent of Hindi 'लोगों'
सेवा,candidate,सेवा,Devanagari,"Same as Hindi, common term"
एस्पिरेशन,candidate,आकांक्षा,Devanagari,Native equivalent for 'aspiration'
उंकी,candidate,ओकर,Devanagari,Maithili equivalent for Hindi 'उनकी'
आवशक्ता,candidate,आवश्यकता,Devanagari,Maithili equivalent for Hindi 'आवश्यकता'
जितनी,candidate,जेतेक,Devanagari,Maithili equivalent for Hindi 'जितनी'
मेहनत,candidate,मेहनत,Devanagari,"Same as Hindi, common term"
सकूँ,candidate,सकियै,Devanagari,Maithili equivalent for Hindi 'सकूँ' (may I be able to)
जीतना,candidate,जेतेक,Devanagari,Maithili equivalent for Hindi 'जीतना' (as much)
करसको,candidate,कऽ सकय,Devanagari,Maithili equivalent for informal Hindi 'कर सको' (be able to do)
मुड़,candidate,घुमब,Devanagari,Maithili infinitive for 'to turn'
मैरी,candidate,हमर,Devanagari,Maithili equivalent for Hindi 'मेरी'
उर्जा,candidate,ऊर्जा,Devanagari,Maithili equivalent for Hindi 'ऊर्जा'
engineer,candidate,अभियंता,Devanagari,Formal Maithili term
person,candidate,व्यक्ति,Devanagari,Common term
loves,candidate,प्रेम करब,Devanagari,Maithili infinitive for 'to love'
mathematics,candidate,गणित,Devanagari,Common term
ask,candidate,पूछब,Devanagari,Maithili infinitive for 'to ask'
srinivasa,candidate,श्रीनिवास,Devanagari,Transliteration of proper noun
ramanujan,candidate,रामानुजन,Devanagari,Proper noun transliteration
indian,candidate,भारतीय,Devanagari,Direct translation
mathematician,candidate,गणितज्ञ,Devanagari,Direct translation
century,candidate,शताब्दी,Devanagari,Direct translation
ago,candidate,पहिने,Devanagari,Direct translation
widely,candidate,व्यापक रूप सँ,Devanagari,Phrase meaning 'in a widespread manner'
considered,candidate,मानल जाइत छथि,Devanagari,Translation for 'is considered' (respectful)
one,candidate,एक,Devanagari,Direct translation (number)
greatest,candidate,महानतम,Devanagari,Superlative form
mathematicians,candidate,गणितज्ञ लोकनि,Devanagari,Plural form
self-taught,candidate,स्वयं-शिक्षित,Devanagari,Direct translation
grew,candidate,बढ़लाह,Devanagari,"Past tense of 'grow' (for a person, respectful)"
poverty,candidate,गरीबी,Devanagari,Direct translation
often,candidate,प्रायः,Devanagari,Direct translation
spoken,candidate,कहल जाइत अछि,Devanagari,Translation for 'is spoken' (general)
find,candidate,पाबैत छथि,Devanagari,Translation for 'they find' (respectful plural)
inspiring,candidate,प्रेरणादायक,Devanagari,Direct translation
science,candidate,विज्ञान,Devanagari,Direct translation
spirituality,candidate,आध्यात्मिकता,Devanagari,Direct translation
very,candidate,बहुत,Devanagari,Direct translation
connected,candidate,जुड़ल,Devanagari,Direct translation
says,candidate,कहैत छथि,Devanagari,Translation for 'says' (respectful)
scientific,candidate,वैज्ञानिक,Devanagari,Direct translation
minds,candidate,मन,Devanagari,Direct translation for 'mind' (can imply plural in context)
spiritually,candidate,आध्यात्मिक रूप सँ,Devanagari,Phrase meaning 'in a spiritual way'
got,candidate,भेटल,Devanagari,Maithili equivalent for 'received/obtained'
knew,candidate,जनैत छल,Devanagari,Maithili equivalent for 'knew'
स्री,candidate,श्री,Devanagari,Honorific 'Shri'
निवास,candidate,निवास,Devanagari,Same in Maithili for 'residence'
रमानुजम,candidate,रमानुजम,Devanagari,Proper noun
उन्हें,candidate,हुनका,Devanagari,Maithili equivalent for honorific 'to him/her/them'
उद्देवी,candidate,उद्देवी,Devanagari,Proper noun
आते,candidate,अबैत,Devanagari,Maithili equivalent for 'coming/come habitually'
जिसकी,candidate,जेकर,Devanagari,Maithili equivalent for 'whose/of which'
पूजा,candidate,पूजा,Devanagari,Same in Maithili for 'worship'
devote,candidate,समर्पित करब,Devanagari,To dedicate/devote
kardena,candidate,कय देब,Devanagari,Maithili equivalent for 'to do completely'
khapa,candidate,खपाबय,Devanagari,Maithili equivalent for 'to consume/utilize'
dena,candidate,देब,Devanagari,Maithili equivalent for 'to give'
svayam,candidate,स्वयं,Devanagari,Same in Maithili for 'self/oneself'
hi,candidate,हे,Devanagari,Maithili emphatic particle
jase,candidate,जेना,Devanagari,Maithili equivalent for 'like/as'
wo,candidate,ओ,Devanagari,Maithili equivalent for 'he/she/it/they (distant)'
karya,candidate,कार्य,Devanagari,Same in Maithili for 'work/task'
ka,candidate,क,Devanagari,Maithili genitive particle 'of'
roop,candidate,रूप,Devanagari,Same in Maithili for 'form/shape'
banjaya,candidate,बनि जाएत,Devanagari,Maithili equivalent for 'will become'
hai,candidate,अछि,Devanagari,Maithili equivalent for 'is'
aur,candidate,आ,Devanagari,Maithili equivalent for 'and'
hum,candidate,हम,Devanagari,Same in Maithili for 'we'
ke,candidate,क,Devanagari,Hindi postposition equivalent.
jitne,candidate,जेतेक,Devanagari,Hindi equivalent 'as much as'.
jyada,candidate,बेसी,Devanagari,Hindi equivalent 'more'.
thank,candidate,धन्यवाद,Devanagari,Common greeting.
बीच,candidate,बीच,Devanagari,Common Maithili word 'between'.
फर्क,candidate,फरक,Devanagari,Common Maithili word 'difference'.
समझना,candidate,बुझब,Devanagari,Maithili verb equivalent 'to understand'.
चाहिए,candidate,चाहि,Devanagari,Maithili auxiliary verb 'should'.
मानते,candidate,मानब,Devanagari,Maithili verb equivalent 'to consider/believe'.
सिंग्ग,candidate,सिंगल,Devanagari,Transliteration of 'single'.
बाद,candidate,बाद,Devanagari,Common Maithili word 'after'.
धिरे,candidate,धीरे,Devanagari,Maithili equivalent of 'slowly'.
धीरे,candidate,धीरे,Devanagari,Common Maithili word 'slowly'.
इवॉल्व,candidate,इवॉल्व,Devanagari,Academic transliteration of 'evolve'.
हमने,candidate,हम,Devanagari,Maithili pronoun equivalent 'we/us'.
reputation,candidate,प्रतिष्ठा,Devanagari,Maithili equivalent.
decisive,candidate,निर्णायक,Devanagari,Maithili equivalent.
leader,candidate,नेता,Devanagari,Common Maithili word.
walk,candidate,चलब,Devanagari,Maithili verb equivalent 'to walk'.
through,candidate,सँ होइत,Devanagari,Maithili prepositional phrase 'passing through'.
topic,candidate,विषय,Devanagari,Common Maithili word.
ideas,candidate,विचार,Devanagari,Common Maithili word (singular/plural).
instance,candidate,उदाहरण,Devanagari,Maithili equivalent 'example'.
facing,candidate,सामना करैत,Devanagari,Maithili present participle equivalent.
high,candidate,ऊँच,Devanagari,Common Maithili word.
stakes,candidate,दाँव,Devanagari,what is at risk or involved
choice,candidate,विकल्प,Devanagari,"option, selection"
clear,candidate,स्पष्ट,Devanagari,"evident, unambiguous"
precedence,candidate,प्राथमिकता,Devanagari,"priority, prior importance"
know,candidate,जानब,Devanagari,to know (verb)
